feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,label
7.0,65.83585386322089,-65.83585386322089,12.391592764077984,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,105.82813503179118,-105.82813503179118,23.58070237845794,279.94596817999206,1.0,0.0,0.0,-7.0,24.704780115144853,24.704780115144853,42.841089216187285,633.7844378485602,1.0,0.0,0.0,-27.26434893208243,-7.0,27.26434893208243,36.6856741069087,1745.9716919684415,1.0,0.0,0.0,67.06665968839734,7.0,67.06665968839734,38.90941838474557,-4366.390806339695,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7.0,-117.53085995045592,117.53085995045592,23.15971985260349,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-54.1656733966654,7.0,-54.1656733966654,15.733883243917743,-6317.138174105617,0.0,0.0,1.0,-7.0,64.90564066272495,64.90564066272495,30.192122146817184,-368.3765350141168,0.0,1.0,0.0,-7.0,93.55850189030524,93.55850189030524,20.373576870960015,-167.8065064210548,0.0,0.0,1.0,7.0,-94.19726606037659,94.19726606037659,13.172801187455443,163.3351572305553,0.0,0.0,1.0,7.0,-119.19778137875633,119.19778137875633,24.312660416738993,-11.668449998102915,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-44.664612446227025,-7.0,44.664612446227025,30.196732873644194,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,83.97409046021313,-83.97409046021313,46.24886271328885,-3701.6702059298295,0.0,0.0,1.0,-7.0,37.090108471865456,37.090108471865456,35.69764835107667,-1705.6153204843922,1.0,0.0,0.0,7.0,-45.487860297218546,45.487860297218546,17.821113784756673,2080.6976511833836,0.0,1.0,0.0,-7.0,76.77658476650367,76.77658476650367,13.474283819565564,-3478.196403540784,0.0,1.0,0.0,7.0,-82.16010335035445,82.16010335035445,21.079381126492947,3718.64917468554,0.0,1.0,0.0,-7.0,85.87715345300475,85.87715345300475,24.00932816405284,-3884.6697769636244,0.0,0.0,1.0,1
97.27388633380143,7.0,97.27388633380143,17.288755725440588,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-7.0,-23.943266231722397,-23.943266231722397,40.172541027193375,-2280.0545578845104,1.0,0.0,0.0,-2.4584420486212686,-7.0,2.4584420486212686,44.75485302432275,-663.7081099962611,0.0,0.0,1.0,-7.0,44.93002989076551,44.93002989076551,29.866625122779237,4419.518620568625,1.0,0.0,0.0,98.5045625480286,7.0,98.5045625480286,48.09957240937162,-8.614733499590216,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7.0,-27.453820258030746,27.453820258030746,45.01102459132147,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-61.915069666421935,7.0,-61.915069666421935,21.901685436391517,-1650.8051938853994,0.0,1.0,0.0,-61.341057148575935,-7.0,61.341057148575935,22.970675775616375,-1733.0463573945956,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-7.0,13.631909092687724,13.631909092687724,34.60804528671085,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-7.0,31.06867613352239,31.06867613352239,32.0550267663329,-122.05736928584267,1.0,0.0,0.0,-7.0,43.832031832950015,43.832031832950015,35.22643533003877,-211.40085918183604,0.0,1.0,0.0,7.0,-59.55476166174144,59.55476166174144,36.010856625885175,321.459967983376,1.0,0.0,0.0,-101.1269696589111,-7.0,101.1269696589111,20.954259953861488,1427.5536572092658,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9.4546418984666,-7.0,-9.4546418984666,32.79106078312739,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.2388703666282517,7.0,1.2388703666282517,25.15070131364826,74.85458585566396,1.0,0.0,0.0,7.0,-30.559848348649123,30.559848348649123,18.139816401402943,-239.9324226079233,0.0,1.0,0.0,-44.58203731477821,-7.0,44.58203731477821,42.402791288553765,-378.25675449271364,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-32.08417671721637,-7.0,32.08417671721637,28.362285409928703,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-118.02541161546428,7.0,-118.02541161546428,46.72122321268838,-1050.7671183287646,1.0,0.0,0.0,45.09465766949455,7.0,45.09465766949455,44.81439072773236,91.07336666594725,1.0,0.0,0.0,7.0,-46.22521625810169,46.22521625810169,20.694561799230872,1532.098007216478,0.0,0.0,1.0,-7.0,59.05560685899453,59.05560685899453,15.103303328971794,-1943.7505266064359,1.0,0.0,0.0,7.0,-83.52097531190138,83.52097531190138,28.366793704072506,2728.70173150131,0.0,0.0,1.0,-111.27801832287065,-7.0,111.27801832287065,34.205865797561415,-554.35689123958,0.0,1.0,0.0,1
7.0,94.17127493564665,-94.17127493564665,24.543012600685543,0.0,1.0,0.0,0.0,1.0,0.0,0.0,36.94715614984832,7.0,36.94715614984832,18.57891979673007,-3430.360799877634,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
46.391015181869655,-7.0,-46.391015181869655,47.88022580263551,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-7.0,-10.060516307231433,-10.060516307231433,21.668648479793482,-515.7175647462207,1.0,0.0,0.0,7.0,-10.311887037233333,10.311887037233333,45.88137599029703,-429.37890809801644,1.0,0.0,0.0,-18.83279965779148,-7.0,18.83279965779148,29.506668959284653,-456.56670387762796,0.0,1.0,0.0,7.0,-39.47780184671489,39.47780184671489,28.146554964065693,-1782.4153048177923,1.0,0.0,0.0,-7.0,56.62360551397347,56.62360551397347,35.287463892473696,2577.826543050942,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
